timestamp,temp,humidity,gas,water,volt
2021-09-23 14:00:04,25.4,53.3,0.0,89919.5,-39.5
2021-09-23 14:01:04,25.4,53.4,0.0,86862.7,-39.5
2021-09-23 14:02:04,25.4,53.4,0.0,88610.4,-39.5
2021-09-23 14:03:04,25.4,53.3,0.0,89257.3,-39.5
2021-09-23 14:04:05,25.4,53.2,0.0,90180.1,-39.5
2021-09-23 14:05:04,25.4,53.5,0.0,89925.9,-39.5
2021-09-23 14:06:04,25.4,53.4,0.0,90510.9,-39.5
2021-09-23 14:07:04,25.4,53.4,0.0,87371.7,-39.5
2021-09-23 14:08:04,25.5,53.6,0.0,90349.8,-39.5
2021-09-23 14:09:04,25.4,53.4,0.0,86938.2,-39.5
2021-09-23 14:10:04,25.5,53.5,0.0,90163.0,-39.5
2021-09-23 14:11:04,25.5,53.4,0.0,87488.0,-39.5
2021-09-23 14:12:04,25.5,53.6,0.0,88732.2,-39.5
2021-09-23 14:13:04,25.5,53.4,0.0,87766.5,-39.5
2021-09-23 14:14:04,25.5,53.4,0.0,87577.5,-39.5
2021-09-23 14:15:07,25.4,53.1,0.0,87683.4,-39.5
2021-09-23 14:16:04,25.4,53.1,0.0,89608.9,-39.5
2021-09-23 14:17:04,25.4,53.2,0.0,87577.0,-39.5
2021-09-23 14:18:04,25.5,53.5,0.0,88777.4,-39.5
2021-09-23 14:19:04,25.5,53.5,0.0,87670.0,-39.5
2021-09-23 14:20:04,25.5,53.4,0.0,90433.5,-39.5
2021-09-23 14:21:04,25.5,53.4,0.0,89467.6,-39.5
2021-09-23 14:22:07,25.4,53.5,0.0,87172.9,-39.5
2021-09-23 14:23:04,25.4,53.5,0.0,87945.1,-39.5
2021-09-23 14:24:04,25.5,53.9,0.0,90512.9,-39.5
2021-09-23 14:25:06,25.5,53.3,0.0,88226.8,-39.5
2021-09-23 14:26:05,25.4,53.2,0.0,88675.3,-39.5
2021-09-23 14:27:04,25.5,53.5,0.0,89530.0,-39.5
2021-09-23 14:28:04,25.5,53.4,0.0,89244.6,-39.5
2021-09-23 14:29:09,25.5,53.4,0.0,87534.4,-39.5
2021-09-23 14:30:04,25.5,53.4,0.0,85279.1,-39.5
2021-09-23 14:31:04,25.5,53.3,0.0,89299.4,-39.5
2021-09-23 14:32:04,25.5,53.4,0.0,87660.8,-39.5
2021-09-23 14:33:04,25.5,53.5,0.0,86561.8,-39.5
2021-09-23 14:34:04,25.6,53.5,0.0,86022.2,-39.5
2021-09-23 14:35:04,25.5,53.4,0.0,89140.8,-39.5
2021-09-23 14:36:04,25.6,53.2,0.0,88183.8,-39.5
2021-09-23 14:37:05,25.6,53.4,0.0,89683.1,-39.5
2021-09-23 14:38:04,25.6,53.6,0.0,88437.1,-39.5
2021-09-23 14:39:04,25.6,53.6,0.0,87704.9,-39.5
2021-09-23 14:40:04,25.6,53.5,0.0,89393.8,-39.5
2021-09-23 14:41:04,25.6,53.5,0.0,89675.7,-39.5
2021-09-23 14:42:04,25.6,53.7,0.0,89470.8,-39.5
2021-09-23 14:43:04,25.6,53.8,0.0,86653.7,-39.5
2021-09-23 14:44:04,0.0,53.0,0.0,87660.8,-39.5
2021-09-23 14:45:06,25.6,53.1,0.0,87098.9,-39.5
2021-09-23 14:46:04,25.6,53.2,0.0,88387.3,-39.5
2021-09-23 14:47:04,25.6,52.7,0.0,89767.7,-39.5
2021-09-23 14:48:05,25.6,53.0,0.0,89463.0,-39.5
2021-09-23 14:49:04,25.6,53.0,0.0,90727.4,-39.5
2021-09-23 14:50:06,25.6,53.1,0.0,85823.2,-39.5
2021-09-23 14:51:04,25.6,53.1,0.0,90042.3,-39.5
2021-09-23 14:52:04,25.6,53.3,0.0,87134.1,-39.5
2021-09-23 14:53:06,25.6,53.3,0.0,88813.6,-39.5
2021-09-23 14:54:04,25.6,53.4,0.0,88200.9,-39.5
2021-09-23 14:55:07,25.6,53.3,0.0,87115.9,-39.5
2021-09-23 14:56:04,25.5,53.3,0.0,89633.1,-39.5
2021-09-23 14:57:07,25.6,53.5,0.0,89263.9,-39.5
2021-09-23 14:58:04,25.6,53.6,0.0,89183.7,-39.5
2021-09-23 14:59:05,25.6,53.3,0.0,88878.5,-39.5
